year,pH,SSTRetro(GFDL_rcp45),Coldpool (GFDL_rcp45),Wind,SST(deg.C)
Type,1,2,3,4,2
Series,1,1,1,1,1
1979,NA,3.552397,-2.432688,NA,NA
1980,NA,3.060867,-1.724217,NA,NA
1981,NA,2.531629,-1.038381,NA,NA
1982,NA,1.674715,-0.06674046,0,NA
1983,NA,2.885424,-1.627651,0,NA
1984,NA,1.59888,-0.2086151,1,NA
1985,NA,1.120515,0.6268947,0,NA
1986,NA,1.662321,-0.2515743,0,NA
1987,NA,2.374899,-0.9269832,0,NA
1988,NA,1.860813,-0.2825634,0,NA
1989,NA,1.751526,0.0639606,0,NA
1990,NA,1.755768,-0.2791567,0,NA
1991,NA,2.515829,-1.126103,0,NA
1992,NA,1.066956,0.4167073,1,NA
1993,NA,3.219452,-1.897153,1,NA
1994,NA,2.034613,-0.4780295,0,NA
1995,NA,1.560783,0.140234,1,NA
1996,NA,2.70825,-1.233692,1,NA
1997,NA,1.841448,0.1408334,1,NA
1998,NA,3.183304,-1.945414,0,NA
1999,NA,1.02899,0.7806706,0,NA
2000,NA,2.12606,-0.4594947,1,NA
2001,NA,2.286038,-0.7332876,0,NA
2002,NA,2.840556,-1.323275,0,NA
2003,NA,3.094124,-1.631859,0,NA
2004,NA,2.592185,-1.027686,0,NA
2005,NA,2.73419,-1.308731,1,NA
2006,8.05,1.650125,0.08800096,0,4.14
2007,8.05,1.037374,0.6963368,1,4.95
2008,8.06,0.8294154,0.7382427,0,3.47
2009,8.07,0.9677076,0.7264321,0,2.56
2010,8.04,0.9439813,0.6300108,0,4.33
2011,8.03,1.345765,0.1441107,0,6.07
2012,8.05,0.7224695,0.8800865,0,3.78
2013,8.04,1.124845,0.5214338,1,4.08
2014,8.03,2.65443,-1.262097,0,6.12
2015,8.03,2.710257,-1.147248,0,6.85
2016,8.03,3.869718,-2.015309,1,6.12
2017,8.03,1.829754,-0.06242247,1,4.16
2018,8.02,2.614011,-0.7557659,0,4.35
2019,8.04,2.745256,-0.876612,1,3.13
2020,8.01,1.943646,0.0218823,1,5.08
2021,8.01,2.348063,-0.3611142,1,6.75
2022,8.01,1.768334,0.02450581,1,6.63
2023,8.02,0.1978195,1.483095,1,4.69
2024,8,1.091655,0.4729663,1,5.26
2025,8,2.720858,-1.013018,1,5.65
2026,8,1.737092,0.05750024,1,5.74
2027,8,0.1060378,1.458279,1,4.98
2028,8,2.989788,-1.417894,1,5.5
2029,7.99,1.497182,0.4575582,1,5.16
2030,8.01,1.918161,-0.1257447,1,3.53
2031,7.99,1.280584,0.3208219,1,4.21
2032,7.98,1.323156,0.5442366,1,5.66
2033,7.99,1.633862,0.2940016,1,3.62
2034,7.98,1.284404,0.4047972,1,4.37
2035,7.96,2.924085,-1.397001,1,6.1
2036,7.97,1.34047,0.6667906,1,4.51
2037,7.97,2.03799,0.04955845,1,4.25
2038,7.97,3.074504,-1.607768,1,3.38
2039,7.95,1.625763,0.3897532,1,5.15
2040,7.96,2.690147,-1.045614,1,3.87
2041,7.95,1.636889,0.1259471,1,4.89
2042,7.94,2.891758,-0.9389914,1,6.62
2043,7.94,-0.2826177,1.618952,1,5.57
2044,7.93,1.235859,0.374163,1,7.34
2045,7.93,3.217647,-1.552137,1,6.83
2046,7.93,-0.02906123,1.38949,1,7.32
2047,7.93,1.410781,0.37631,1,5.41
2048,7.91,1.925948,-0.1151069,1,8
2049,7.91,2.184756,-0.2403467,1,6.88
2050,7.91,0.3588601,1.201649,1,8.18
2051,7.91,2.079442,-0.2746174,1,7
2052,7.91,2.425289,-0.7301352,1,6.54
2053,7.91,1.648352,0.3808392,1,4.76
2054,7.88,0.3294659,1.106032,1,6.46
2055,7.89,-0.4493753,1.672386,1,7.26
2056,7.89,1.175339,0.4947674,1,4.49
2057,7.88,0.8723268,0.9160587,1,6.3
2058,7.87,0.2473144,1.295355,1,6.63
2059,7.87,1.750668,-0.1286662,1,6.38
2060,7.86,0.9671673,0.7798342,1,6.19
2061,7.86,2.392204,-0.6235547,1,5.05
2062,7.85,4.278758,-2.640143,1,6.77
2063,7.86,0.9724446,0.7405787,1,6.98
2064,7.85,1.785494,0.1088937,1,5.63
2065,7.84,1.661679,0.2434703,1,4.98
2066,7.84,1.614392,0.3337868,1,4.6
2067,7.83,2.186595,-0.2795049,1,5.98
2068,7.84,3.021077,-1.13141,1,4.04
2069,7.81,1.437654,0.3292551,1,5.76
2070,7.81,2.210097,-0.3833033,1,6.79
2071,7.82,-0.1240444,1.400264,1,5.25
2072,7.8,0.6188872,0.9054782,1,5.48
2073,7.8,2.381253,-0.6031436,1,6.7
2074,7.8,2.580501,-1.07167,1,5.12
2075,7.79,0.4070002,1.336323,1,6.39
2076,7.79,1.176108,0.4628385,1,6.98
2077,7.78,2.280938,-0.54663,1,7.73
2078,7.79,3.321602,-1.912187,1,8.74
2079,7.78,2.37045,-0.5052229,1,6.93
2080,7.77,2.420339,-0.6517893,1,7.14
2081,7.77,0.344564,1.117379,1,7.74
2082,7.76,-0.04640921,1.565486,1,6.25
2083,7.75,2.075642,-0.2670446,1,6.13
2084,7.75,0.7647312,1.066741,1,5.63
2085,7.75,0.3697396,1.156163,1,8.29
2086,7.75,0.6832698,0.9612824,1,8.09
2087,7.74,-0.246419,1.480722,1,6.85
2088,7.73,0.4346482,1.022632,1,6.38
