Year,Week Ending Date,Detail Record Count,Date Received from AKR,Date Loaded to Repository,FMP Area,FMP Subarea,Reporting Area Code,Gear Code,Trip Target Name,Species Group Name,Species Common Name,Retained/Discarded,Vessel Federal Permit,Vessel Name,Vessel Length,# Distinct Vessels,Conf Flag,Weight Posted (mt)
1992,5/31/92,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,521,TRW,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,1311,ALASKA VOYAGER,203,1,1,0.04
1992,11/22/92,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,514,TRW,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,2110,CAPE HORN,158,1,1,0.03
1994,10/22/94,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,TRW,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,3702,RESOLUTE,240,1,1,3.74
1994,10/29/94,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,TRW,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,3702,RESOLUTE,240,1,1,0.92
1995,3/11/95,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,TRW,Yellowfin Sole - BSAI,Squid,"squid, majestic",Retained,,,,0,1,0.25
1995,3/18/95,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,TRW,Yellowfin Sole - BSAI,Squid,"squid, majestic",Retained,,,,0,1,0.15
1995,3/25/95,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,TRW,Yellowfin Sole - BSAI,Squid,"squid, majestic",Retained,,,,0,1,0
1996,9/14/96,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,BTR,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,3694,ARICA,186,1,1,7.41
1996,9/14/96,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,BTR,Yellowfin Sole - BSAI,Squid,"squid, majestic",Retained,3694,ARICA,186,1,1,3.17
1997,5/10/97,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,BTR,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,2134,OCEAN PEACE,219,1,1,0.01
1998,5/2/98,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,517,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,5822,ENTERPRISE,120,1,1,0.06
1998,8/15/98,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,2134,OCEAN PEACE,219,1,1,0.16
1998,8/15/98,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,3423,ALASKA WARRIOR,215,1,1,0.1
1998,8/15/98,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Retained,2134,OCEAN PEACE,219,1,1,0.07
1998,8/22/98,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,2134,OCEAN PEACE,219,1,1,0.03
1998,8/22/98,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,517,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,3694,ARICA,186,1,1,0.02
1998,10/3/98,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,3694,ARICA,186,1,1,0.07
1998,11/14/98,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,1879,AMERICAN NO I,160,1,1,1.07
1999,1/30/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,3360,ENDURANCE,278,1,1,1.25
1999,2/6/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,3360,ENDURANCE,278,1,1,1.89
1999,2/6/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Retained,3360,ENDURANCE,278,1,1,0.01
1999,3/13/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,3360,ENDURANCE,278,1,1,0.69
1999,3/20/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,3360,ENDURANCE,278,1,1,0.14
1999,3/27/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,3360,ENDURANCE,278,1,1,0.15
1999,3/27/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,3360,ENDURANCE,278,1,1,0.01
1999,4/3/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,3360,ENDURANCE,278,1,1,0.24
1999,4/3/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,4063,NORTHERN HAWK,341,1,1,0.74
1999,4/3/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Retained,2943,ARCTIC STORM,334,1,1,0.08
1999,4/3/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Retained,4063,NORTHERN HAWK,341,1,1,0.11
1999,4/3/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,2943,ARCTIC STORM,334,1,1,1.4
1999,4/3/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,3360,ENDURANCE,278,1,1,1.14
1999,4/3/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,4063,NORTHERN HAWK,341,1,1,1.82
1999,4/3/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Retained,3261,NORTHERN EAGLE,341,1,1,2.29
1999,4/3/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Retained,3896,NORTHERN JAEGER,336,1,1,0.17
1999,4/10/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"octopus, North Pacific",Discarded,3360,ENDURANCE,278,1,1,0.01
1999,4/10/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,2943,ARCTIC STORM,334,1,1,5.18
1999,4/10/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,3360,ENDURANCE,278,1,1,3.4
1999,4/10/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,4063,NORTHERN HAWK,341,1,1,0.84
1999,4/10/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Retained,2943,ARCTIC STORM,334,1,1,0.06
1999,4/10/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Retained,3360,ENDURANCE,278,1,1,0.19
1999,4/17/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,2943,ARCTIC STORM,334,1,1,4.36
1999,5/1/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,2123,VAERDAL,124,1,1,0.01
1999,5/8/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,517,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,2123,VAERDAL,124,1,1,0.03
1999,5/29/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,2134,OCEAN PEACE,219,1,1,0.02
1999,5/29/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,519,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,2800,US INTREPID,185,1,1,0.6
1999,6/5/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,517,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,1879,AMERICAN NO I,160,1,1,0.11
1999,11/13/99,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,517,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,3367,LEGACY,132,1,1,0.04
2000,4/8/00,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,3896,NORTHERN JAEGER,336,1,1,0.72
2000,4/15/00,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,3896,NORTHERN JAEGER,336,1,1,0.4
2000,4/22/00,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,2943,ARCTIC STORM,334,1,1,0.36
2000,4/22/00,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,3261,NORTHERN EAGLE,341,1,1,0.97
2000,4/22/00,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,3896,NORTHERN JAEGER,336,1,1,0.23
2000,4/22/00,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,4063,NORTHERN HAWK,341,1,1,0.34
2000,4/29/00,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,4063,NORTHERN HAWK,341,1,1,0.59
2000,5/6/00,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,2443,ALASKA JURIS,238,1,1,0.04
2000,5/13/00,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,2733,SEAFREEZE ALASKA,295,1,1,0.03
2000,8/5/00,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,2733,SEAFREEZE ALASKA,295,1,1,0.03
2001,4/21/01,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,3896,NORTHERN JAEGER,336,1,1,0.58
2001,4/21/01,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,4063,NORTHERN HAWK,341,1,1,0.21
2001,4/21/01,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Retained,3261,NORTHERN EAGLE,341,1,1,7.26
2001,4/21/01,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Retained,3896,NORTHERN JAEGER,336,1,1,4.09
2001,4/28/01,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,3896,NORTHERN JAEGER,336,1,1,0.2
2001,4/28/01,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,4063,NORTHERN HAWK,341,1,1,1.76
2001,4/28/01,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Retained,3896,NORTHERN JAEGER,336,1,1,4.85
2001,4/28/01,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,514,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,3896,NORTHERN JAEGER,336,1,1,0.13
2001,4/28/01,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,514,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,4063,NORTHERN HAWK,341,1,1,1.35
2001,4/28/01,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,514,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Retained,3261,NORTHERN EAGLE,341,1,1,0.1
2001,4/28/01,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,514,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Retained,3896,NORTHERN JAEGER,336,1,1,0.71
2001,6/16/01,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,521,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,2733,SEAFREEZE ALASKA,295,1,1,0.02
2001,11/3/01,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Squid,"squid, majestic",Discarded,3400,ALASKA RANGER,203,1,1,0.09
2002,3/2/02,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,4635,DEFENDER,123,1,1,1.6
2002,3/9/02,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,1610,REBECCA IRENE,140,1,1,15
2002,3/9/02,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,4092,CONSTELLATION,166,1,1,3.58
2002,3/9/02,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,4635,DEFENDER,123,1,1,5.97
2002,3/9/02,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,2018,TREMONT,124,1,1,3.9
2002,3/9/02,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,521,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,2018,TREMONT,124,1,1,3.9
2002,3/16/02,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,509,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,1610,REBECCA IRENE,140,1,1,8
2002,3/16/02,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,2018,TREMONT,124,1,1,11.12
2002,3/16/02,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,4635,DEFENDER,123,1,1,7.01
2002,3/16/02,1,5/27/09 9:29,10/1/19 7:45,BSAI,BS,513,NPT,Yellowfin Sole - BSAI,Other,"skate, other",Discarded,5822,ENTERPRISE,120,1,1,1.2
