"","Latitude","Longitude","Weight","Year"
"1",52.3,181.1,0,2020
"2",52.3,183.1,0,2020
"3",52.3,185.1,0,2020
"4",52.3,187.1,0,2020
"5",52.3,189.1,0,2020
"6",52.3,191.1,0,2020
"7",52.3,193.1,113.89,2020
"8",52.3,195.1,30678.56,2020
"9",52.3,197.1,0,2020
"10",52.3,199.1,0,2020
"11",52.3,201.1,0,2020
"12",54.3,181.1,0,2020
"13",54.3,183.1,0,2020
"14",54.3,185.1,0,2020
"15",54.3,187.1,0,2020
"16",54.3,189.1,458.98,2020
"17",54.3,191.1,395.66,2020
"18",54.3,193.1,1863.94,2020
"19",54.3,195.1,69879.4,2020
"20",54.3,197.1,120604.14,2020
"21",54.3,199.1,0,2020
"22",54.3,201.1,0,2020
"23",56.3,181.1,0,2020
"24",56.3,183.1,0,2020
"25",56.3,185.1,54.27,2020
"26",56.3,187.1,17222927.76,2020
"27",56.3,189.1,5188344.26,2020
"28",56.3,191.1,11781334.01,2020
"29",56.3,193.1,23236300.31,2020
"30",56.3,195.1,34728427.98,2020
"31",56.3,197.1,3905924.42,2020
"32",56.3,199.1,0,2020
"33",56.3,201.1,0,2020
"34",58.3,181.1,4831.59,2020
"35",58.3,183.1,344.26,2020
"36",58.3,185.1,10257.66,2020
"37",58.3,187.1,20549.44,2020
"38",58.3,189.1,2014335.79,2020
"39",58.3,191.1,1235076.82,2020
"40",58.3,193.1,1708114.67,2020
"41",58.3,195.1,1627476.96,2020
"42",58.3,197.1,136930.98,2020
"43",58.3,199.1,0,2020
"44",58.3,201.1,0,2020
"45",60.3,181.1,0,2020
"46",60.3,183.1,1572.89,2020
"47",60.3,185.1,767.65,2020
"48",60.3,187.1,1104.97,2020
"49",60.3,189.1,0,2020
"50",60.3,191.1,0,2020
"51",60.3,193.1,0,2020
"52",60.3,195.1,0,2020
"53",60.3,197.1,0,2020
"54",60.3,199.1,0,2020
"55",60.3,201.1,0,2020
"56",62.3,181.1,0,2020
"57",62.3,183.1,0,2020
"58",62.3,185.1,2499.94,2020
"59",62.3,187.1,4861.55,2020
"60",62.3,189.1,21428.93,2020
"61",62.3,191.1,7250.21,2020
"62",62.3,193.1,32.71,2020
"63",62.3,195.1,0,2020
"64",62.3,197.1,0,2020
"65",62.3,199.1,0,2020
"66",62.3,201.1,0,2020
"67",64.3,181.1,0,2020
"68",64.3,183.1,0,2020
"69",64.3,185.1,0,2020
"70",64.3,187.1,0,2020
"71",64.3,189.1,0,2020
"72",64.3,191.1,0,2020
"73",64.3,193.1,0,2020
"74",64.3,195.1,0,2020
"75",64.3,197.1,0,2020
"76",64.3,199.1,0,2020
"77",64.3,201.1,0,2020
"78",66.3,181.1,0,2020
"79",66.3,183.1,0,2020
"80",66.3,185.1,0,2020
"81",66.3,187.1,0,2020
"82",66.3,189.1,0,2020
"83",66.3,191.1,0,2020
"84",66.3,193.1,0,2020
"85",66.3,195.1,0,2020
"86",66.3,197.1,0,2020
"87",66.3,199.1,0,2020
"88",66.3,201.1,0,2020
"89",52.3,181.1,0,2019
"90",52.3,183.1,0,2019
"91",52.3,185.1,0,2019
"92",52.3,187.1,0,2019
"93",52.3,189.1,0,2019
"94",52.3,191.1,0,2019
"95",52.3,193.1,111.15,2019
"96",52.3,195.1,0,2019
"97",52.3,197.1,0,2019
"98",52.3,199.1,0,2019
"99",52.3,201.1,0,2019
"100",54.3,181.1,0,2019
"101",54.3,183.1,0,2019
"102",54.3,185.1,0,2019
"103",54.3,187.1,0,2019
"104",54.3,189.1,274.75,2019
"105",54.3,191.1,424.16,2019
"106",54.3,193.1,5180.15,2019
"107",54.3,195.1,153400.92,2019
"108",54.3,197.1,176812.12,2019
"109",54.3,199.1,0,2019
"110",54.3,201.1,0,2019
"111",56.3,181.1,0,2019
"112",56.3,183.1,0,2019
"113",56.3,185.1,862.99,2019
"114",56.3,187.1,135277.02,2019
"115",56.3,189.1,2203246.11,2019
"116",56.3,191.1,29641529.94,2019
"117",56.3,193.1,27042877.85,2019
"118",56.3,195.1,17136443.14,2019
"119",56.3,197.1,11013955.42,2019
"120",56.3,199.1,0,2019
"121",56.3,201.1,0,2019
"122",58.3,181.1,244.71,2019
"123",58.3,183.1,296.66,2019
"124",58.3,185.1,39451.86,2019
"125",58.3,187.1,842295.09,2019
"126",58.3,189.1,4646165.33,2019
"127",58.3,191.1,193480.12,2019
"128",58.3,193.1,5713175.8,2019
"129",58.3,195.1,19816841.46,2019
"130",58.3,197.1,2111364.74,2019
"131",58.3,199.1,0,2019
"132",58.3,201.1,0,2019
"133",60.3,181.1,130.34,2019
"134",60.3,183.1,2357.09,2019
"135",60.3,185.1,12919.85,2019
"136",60.3,187.1,4022.17,2019
"137",60.3,189.1,11139.56,2019
"138",60.3,191.1,0,2019
"139",60.3,193.1,0,2019
"140",60.3,195.1,0,2019
"141",60.3,197.1,0,2019
"142",60.3,199.1,0,2019
"143",60.3,201.1,0,2019
"144",62.3,181.1,0,2019
"145",62.3,183.1,38.09,2019
"146",62.3,185.1,291.2,2019
"147",62.3,187.1,1070.75,2019
"148",62.3,189.1,44615.75,2019
"149",62.3,191.1,13424.5,2019
"150",62.3,193.1,0,2019
"151",62.3,195.1,0,2019
"152",62.3,197.1,0,2019
"153",62.3,199.1,0,2019
"154",62.3,201.1,0,2019
"155",64.3,181.1,0,2019
"156",64.3,183.1,0,2019
"157",64.3,185.1,0,2019
"158",64.3,187.1,0,2019
"159",64.3,189.1,0,2019
"160",64.3,191.1,0,2019
"161",64.3,193.1,0,2019
"162",64.3,195.1,0,2019
"163",64.3,197.1,0,2019
"164",64.3,199.1,0,2019
"165",64.3,201.1,0,2019
"166",66.3,181.1,0,2019
"167",66.3,183.1,0,2019
"168",66.3,185.1,0,2019
"169",66.3,187.1,0,2019
"170",66.3,189.1,0,2019
"171",66.3,191.1,0,2019
"172",66.3,193.1,0,2019
"173",66.3,195.1,0,2019
"174",66.3,197.1,0,2019
"175",66.3,199.1,0,2019
"176",66.3,201.1,0,2019
"177",52.3,181.1,0,2018
"178",52.3,183.1,0,2018
"179",52.3,185.1,0,2018
"180",52.3,187.1,0,2018
"181",52.3,189.1,0,2018
"182",52.3,191.1,0,2018
"183",52.3,193.1,153.57,2018
"184",52.3,195.1,0,2018
"185",52.3,197.1,0,2018
"186",52.3,199.1,0,2018
"187",52.3,201.1,0,2018
"188",54.3,181.1,0,2018
"189",54.3,183.1,0,2018
"190",54.3,185.1,0,2018
"191",54.3,187.1,0,2018
"192",54.3,189.1,16.48,2018
"193",54.3,191.1,182.92,2018
"194",54.3,193.1,291714.88,2018
"195",54.3,195.1,293127.2,2018
"196",54.3,197.1,317485.28,2018
"197",54.3,199.1,0,2018
"198",54.3,201.1,0,2018
"199",56.3,181.1,0,2018
"200",56.3,183.1,0,2018
"201",56.3,185.1,116.05,2018
"202",56.3,187.1,1116655.26,2018
"203",56.3,189.1,2225764.75,2018
"204",56.3,191.1,20425904.47,2018
"205",56.3,193.1,36060650.27,2018
"206",56.3,195.1,16426843.13,2018
"207",56.3,197.1,731758.05,2018
"208",56.3,199.1,0,2018
"209",56.3,201.1,0,2018
"210",58.3,181.1,15.71,2018
"211",58.3,183.1,149.79,2018
"212",58.3,185.1,25178.77,2018
"213",58.3,187.1,885297.86,2018
"214",58.3,189.1,16797705.93,2018
"215",58.3,191.1,43684.36,2018
"216",58.3,193.1,11284778.64,2018
"217",58.3,195.1,12842980.88,2018
"218",58.3,197.1,2484880.16,2018
"219",58.3,199.1,0,2018
"220",58.3,201.1,0,2018
"221",60.3,181.1,75.27,2018
"222",60.3,183.1,336.98,2018
"223",60.3,185.1,44730.24,2018
"224",60.3,187.1,206969.82,2018
"225",60.3,189.1,85395.27,2018
"226",60.3,191.1,0,2018
"227",60.3,193.1,0,2018
"228",60.3,195.1,0,2018
"229",60.3,197.1,0,2018
"230",60.3,199.1,0,2018
"231",60.3,201.1,0,2018
"232",62.3,181.1,0,2018
"233",62.3,183.1,66.41,2018
"234",62.3,185.1,947.42,2018
"235",62.3,187.1,34718.9,2018
"236",62.3,189.1,41456.93,2018
"237",62.3,191.1,0,2018
"238",62.3,193.1,3.69,2018
"239",62.3,195.1,0,2018
"240",62.3,197.1,0,2018
"241",62.3,199.1,0,2018
"242",62.3,201.1,0,2018
"243",64.3,181.1,0,2018
"244",64.3,183.1,0,2018
"245",64.3,185.1,0,2018
"246",64.3,187.1,0,2018
"247",64.3,189.1,0,2018
"248",64.3,191.1,0,2018
"249",64.3,193.1,0,2018
"250",64.3,195.1,0,2018
"251",64.3,197.1,0,2018
"252",64.3,199.1,0,2018
"253",64.3,201.1,0,2018
"254",66.3,181.1,0,2018
"255",66.3,183.1,0,2018
"256",66.3,185.1,0,2018
"257",66.3,187.1,0,2018
"258",66.3,189.1,0,2018
"259",66.3,191.1,0,2018
"260",66.3,193.1,0,2018
"261",66.3,195.1,0,2018
"262",66.3,197.1,0,2018
"263",66.3,199.1,0,2018
"264",66.3,201.1,0,2018
"265",52.3,181.1,0,2017
"266",52.3,183.1,0,2017
"267",52.3,185.1,0,2017
"268",52.3,187.1,0,2017
"269",52.3,189.1,41.55,2017
"270",52.3,191.1,0,2017
"271",52.3,193.1,46.89,2017
"272",52.3,195.1,0,2017
"273",52.3,197.1,0,2017
"274",52.3,199.1,0,2017
"275",52.3,201.1,0,2017
"276",54.3,181.1,0,2017
"277",54.3,183.1,0,2017
"278",54.3,185.1,0,2017
"279",54.3,187.1,0,2017
"280",54.3,189.1,692.81,2017
"281",54.3,191.1,76.25,2017
"282",54.3,193.1,339119.33,2017
"283",54.3,195.1,512926.88,2017
"284",54.3,197.1,714899.09,2017
"285",54.3,199.1,0,2017
"286",54.3,201.1,0,2017
"287",56.3,181.1,0,2017
"288",56.3,183.1,0,2017
"289",56.3,185.1,151.3,2017
"290",56.3,187.1,3301186.34,2017
"291",56.3,189.1,424113.17,2017
"292",56.3,191.1,15168793.49,2017
"293",56.3,193.1,34527596.57,2017
"294",56.3,195.1,46683424.98,2017
"295",56.3,197.1,5588731.49,2017
"296",56.3,199.1,0,2017
"297",56.3,201.1,0,2017
"298",58.3,181.1,18.58,2017
"299",58.3,183.1,86.22,2017
"300",58.3,185.1,3447.22,2017
"301",58.3,187.1,161240.87,2017
"302",58.3,189.1,1615068.85,2017
"303",58.3,191.1,496900.82,2017
"304",58.3,193.1,16446.35,2017
"305",58.3,195.1,12071633.07,2017
"306",58.3,197.1,4424791.49,2017
"307",58.3,199.1,0,2017
"308",58.3,201.1,0,2017
"309",60.3,181.1,5.53,2017
"310",60.3,183.1,97.6,2017
"311",60.3,185.1,2162.17,2017
"312",60.3,187.1,10773.3,2017
"313",60.3,189.1,0,2017
"314",60.3,191.1,0,2017
"315",60.3,193.1,0,2017
"316",60.3,195.1,0,2017
"317",60.3,197.1,0,2017
"318",60.3,199.1,0,2017
"319",60.3,201.1,0,2017
"320",62.3,181.1,0,2017
"321",62.3,183.1,0,2017
"322",62.3,185.1,0,2017
"323",62.3,187.1,0,2017
"324",62.3,189.1,0,2017
"325",62.3,191.1,0,2017
"326",62.3,193.1,0,2017
"327",62.3,195.1,0,2017
"328",62.3,197.1,0,2017
"329",62.3,199.1,0,2017
"330",62.3,201.1,0,2017
"331",64.3,181.1,0,2017
"332",64.3,183.1,0,2017
"333",64.3,185.1,0,2017
"334",64.3,187.1,0,2017
"335",64.3,189.1,0,2017
"336",64.3,191.1,0,2017
"337",64.3,193.1,0,2017
"338",64.3,195.1,0,2017
"339",64.3,197.1,0,2017
"340",64.3,199.1,0,2017
"341",64.3,201.1,0,2017
"342",66.3,181.1,0,2017
"343",66.3,183.1,0,2017
"344",66.3,185.1,0,2017
"345",66.3,187.1,0,2017
"346",66.3,189.1,0,2017
"347",66.3,191.1,0,2017
"348",66.3,193.1,0,2017
"349",66.3,195.1,0,2017
"350",66.3,197.1,0,2017
"351",66.3,199.1,0,2017
"352",66.3,201.1,0,2017
"353",52.3,181.1,0,2016
"354",52.3,183.1,0,2016
"355",52.3,185.1,0,2016
"356",52.3,187.1,0,2016
"357",52.3,189.1,50.34,2016
"358",52.3,191.1,0,2016
"359",52.3,193.1,30.57,2016
"360",52.3,195.1,0,2016
"361",52.3,197.1,0,2016
"362",52.3,199.1,0,2016
"363",52.3,201.1,0,2016
"364",54.3,181.1,0,2016
"365",54.3,183.1,0,2016
"366",54.3,185.1,0,2016
"367",54.3,187.1,0,2016
"368",54.3,189.1,62.83,2016
"369",54.3,191.1,141.69,2016
"370",54.3,193.1,37574.06,2016
"371",54.3,195.1,219138.34,2016
"372",54.3,197.1,1719846.51,2016
"373",54.3,199.1,0,2016
"374",54.3,201.1,0,2016
"375",56.3,181.1,0,2016
"376",56.3,183.1,0,2016
"377",56.3,185.1,1143.51,2016
"378",56.3,187.1,55146.4,2016
"379",56.3,189.1,1787071.96,2016
"380",56.3,191.1,14479727.17,2016
"381",56.3,193.1,44425497.82,2016
"382",56.3,195.1,26771552.54,2016
"383",56.3,197.1,9794458.72,2016
"384",56.3,199.1,0,2016
"385",56.3,201.1,0,2016
"386",58.3,181.1,35.45,2016
"387",58.3,183.1,856.56,2016
"388",58.3,185.1,1696.16,2016
"389",58.3,187.1,210264.1,2016
"390",58.3,189.1,6574046.33,2016
"391",58.3,191.1,1280605.06,2016
"392",58.3,193.1,1271129.21,2016
"393",58.3,195.1,7246161.1,2016
"394",58.3,197.1,936410.02,2016
"395",58.3,199.1,0,2016
"396",58.3,201.1,0,2016
"397",60.3,181.1,3.83,2016
"398",60.3,183.1,27.53,2016
"399",60.3,185.1,1127.46,2016
"400",60.3,187.1,9922.5,2016
"401",60.3,189.1,5479.88,2016
"402",60.3,191.1,0,2016
"403",60.3,193.1,0,2016
"404",60.3,195.1,0,2016
"405",60.3,197.1,0,2016
"406",60.3,199.1,0,2016
"407",60.3,201.1,0,2016
"408",62.3,181.1,0,2016
"409",62.3,183.1,0,2016
"410",62.3,185.1,0,2016
"411",62.3,187.1,0,2016
"412",62.3,189.1,0,2016
"413",62.3,191.1,0,2016
"414",62.3,193.1,0,2016
"415",62.3,195.1,0,2016
"416",62.3,197.1,0,2016
