Year,Northern Rockfish,BSAI Shortraker Rockfish,Other Rockfish,Pacific Cod,Pollock,Rock Sole,Sablefish,Sharpchin/Northern Rockfish,Shortraker/Rougheye/Sharpchin/Northern Rockfish,Pacific Ocean Perch
1992,0,0,0,"8,700","13,100","14,646",0,0,0,0
1993,0,0,0,"8,723","15,253","7,300",0,0,0,4
1994,0,0,0,"16,415","33,200","8,096",0,0,0,0
1995,0,0,3,"13,181","27,041","7,486",0,0,0,0
1996,0,0,22,"8,684","22,254","12,903",0,0,0,0
1997,0,0,12,"12,825","24,100","16,693",0,0,0,0
1998,0,0,1,"10,233","15,339","9,826",0,0,1,1
1999,0,0,3,"4,383","8,701","10,774",4,0,15,12
2000,0,0,3,"5,192","13,425","7,345",0,0,0,1
2001,0,0,0,"6,531","16,502","5,810",0,1,0,0
2002,0,0,0,"6,259","14,489","10,664",0,0,0,1
2003,0,0,0,"4,634","11,578","8,314",0,0,0,10
2004,0,0,2,"3,574","10,383","9,972",0,0,0,0
2005,3,0,0,"3,769","10,312","10,090",1,0,0,15
2006,0,0,0,"2,545","5,966","7,971",0,0,0,0
2007,0,0,0,"2,519","4,020","8,241",0,0,0,0
2008,0,0,0,"5,767","9,827","10,468",0,0,0,0
2009,0,0,0,"10,716","7,036","8,978",0,0,0,0
2010,0,0,0,"11,117","5,179","9,624",0,0,0,0
2011,0,0,0,"16,204","8,673","9,694",0,0,0,0
2012,0,0,0,"19,380","11,197","9,179",0,0,0,0
2013,0,0,0,"24,339","20,171","7,688",0,0,0,16
2014,0,0,0,"15,218","24,712","7,030",0,0,0,0
2015,0,0,0,"12,168","21,281","9,772",0,0,0,0
2016,0,0,0,"11,985","22,306","7,948",0,0,0,2
2017,0,0,0,"14,648","23,414","12,196",0,0,0,0
2018,0,0,0,"12,582","28,235","9,362",6,0,0,0
2019,0,0,0,"11,682","23,051","9,073",0,0,0,0
2020,0,1,0,"10,983","28,549","10,760",3,0,0,63
