Year,Detail Record Count,Date Loaded from AKR,Date Loaded to Repository,FMP Area,FMP Subarea,NMFS Area,Gear,Target,Species Group,Species,Processor Federal Permit,Processor Name,Processor Vessel,Processor Plant/Operation,Vessel Federal Permit,Vessel Name,Vessel Length,# Distinct Processors,# Distinct Vessels,Conf Flag,Discards (mt),Retained (mt),Total Catch (mt),Discard Rate,Reporting Area Code
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,HAL,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",1248,"""Romanzof Fishing Co LLC""",BARANOF,FCP,1248,BARANOF,180,1,1,1,0.72462,0,0.72462,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,HAL,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",2833,"""Gulf Mist Inc""",ALASKA MIST,FCP,2833,ALASKA MIST,174,1,1,1,2.70838,0,2.70838,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,HAL,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",33320,"""Northern Leader Fisheries LLC""",NORTHERN LEADER,FCP,33320,NORTHERN LEADER,184,1,1,1,3.2841158,49.2165942,52.50071,6.25537407,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,HAL,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3336,"""Ocean Prowler Llc""",OCEAN PROWLER,FCP,3336,OCEAN PROWLER,155,1,1,1,14.04296,0,14.04296,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,HAL,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",33470,"""Alaska Longline Llc""",ARCTIC PROWLER,FCP,33470,ARCTIC PROWLER,136,1,1,1,41.95879,0,41.95879,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,HAL,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",34615,"""""",FV FLICKA,,34615,FV FLICKA,140,1,1,1,46.37559,0,46.37559,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,HAL,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",372,"""Liberator Fisheries Llc""",U S  LIBERATOR,FCP,372,U S  LIBERATOR,162,1,1,1,12.82619,0,12.82619,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,HAL,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",4306,"""Shelfords Boat Ltd""",ALASKAN LADY,FCP,4306,ALASKAN LADY,180,1,1,1,8.75684,0,8.75684,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,HAL,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",4569,"""F/v Lilli Ann""",LILLI ANN,FCP,4569,LILLI ANN,141,1,1,1,43.00665,0,43.00665,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,HAL,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",4578,"""Siberian Sea Fisheries LLC""",SIBERIAN SEA,FCP,4578,SIBERIAN SEA,136,1,1,1,33.25049,0,33.25049,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Arrowtooth Flounder,Yellowfin Sole,"""sole, yellowfin""",3694,"""Arica Vessel Llc""",ARICA,FCP,3694,ARICA,186,1,1,1,0.0005348,0.0262052,0.02674,2,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Flathead Sole,Yellowfin Sole,"""sole, yellowfin""",2110,"""Cape Horn Vessel Llc""",CAPE HORN,FCP,2110,CAPE HORN,158,1,1,1,0.1211738,9.9640362,10.08521,1.201500018,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Flathead Sole,Yellowfin Sole,"""sole, yellowfin""",3367,"""SEAFREEZE ALASKA I LLC""",LEGACY,FCP,3367,LEGACY,132,1,1,1,0.0391469,6.9193231,6.95847,0.56257913,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Flathead Sole,Yellowfin Sole,"""sole, yellowfin""",3369,"""Unimak Vessel Llc""",UNIMAK,FCP,3369,UNIMAK,185,1,1,1,0.0565733,5.6007567,5.65733,1,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Flathead Sole,Yellowfin Sole,"""sole, yellowfin""",3694,"""Arica Vessel Llc""",ARICA,FCP,3694,ARICA,186,1,1,1,0.0230538,1.1296362,1.15269,2,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",1610,"""Rebecca Irene Vessel LLC""",REBECCA IRENE,FCP,1610,REBECCA IRENE,140,1,1,1,0.1407122,1.0367478,1.17746,11.95048664,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",1879,"""North Pacific Fishing Inc""",AMERICAN NO I,FLD,1879,AMERICAN NO I,160,1,1,1,0,5.58858,5.58858,0,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",1879,"""North Pacific Fishing Inc""",AMERICAN NO I,FLD,1964,OCEAN HUNTER,99,1,1,1,0,1.53716,1.53716,0,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",1996,"""American Seafoods Co LLC""",KATIE ANN,FLD,1996,KATIE ANN,296,1,1,1,2.3153685,1.2631815,3.57855,64.7013036,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",2110,"""Cape Horn Vessel Llc""",CAPE HORN,FCP,2110,CAPE HORN,158,1,1,1,0,0.02128,0.02128,0,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",2123,"""SEAFREEZE ALASKA I LLC""",VAERDAL,FCP,2123,VAERDAL,124,1,1,1,0.01394,3.07283,3.08677,0.451604752,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",2134,"""Ocean Peace Inc""",OCEAN PEACE,FLD,685,GREEN HOPE,98,1,1,1,0.0092445,0.1756455,0.18489,5,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",2134,"""Ocean Peace Inc""",OCEAN PEACE,FLD,2134,OCEAN PEACE,219,1,1,1,0.0264908,1.2980492,1.32454,2,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",2733,"""SEAFREEZE ALASKA I LLC""",SEAFREEZE ALASKA,FCP,2733,SEAFREEZE ALASKA,295,1,1,1,1.3135692,3.7827308,5.0963,25.7749583,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",2733,"""SEAFREEZE ALASKA I LLC""",SEAFREEZE ALASKA,FCP,3373,ALASKA PROVIDER,171,1,1,1,0,0.29081,0.29081,0,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",2733,"""SEAFREEZE ALASKA I LLC""",SEAFREEZE ALASKA,FCP,6202,ALASKA ENDEAVOR,130,1,1,1,0.68122,0,0.68122,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",2733,"""SEAFREEZE ALASKA I LLC""",SEAFREEZE ALASKA,FCP,11770,ALASKA KNIGHT,144,1,1,1,0.32484,0.13236,0.4572,71.04986877,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",2800,"""US Fishing LLC""",US INTREPID,FLD,420,SEA STORM,123,1,1,1,0.05884,0,0.05884,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",2800,"""US Fishing LLC""",US INTREPID,FLD,1964,OCEAN HUNTER,99,1,1,1,0.17096,0.88655,1.05751,16.16627739,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",2800,"""US Fishing LLC""",US INTREPID,FLD,2800,US INTREPID,185,1,1,1,0.07736,18.2595,18.33686,0.421882482,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,236,ROYAL ATLANTIC,124,1,1,1,0.028251525,0,0.028251525,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,411,DOMINATOR,124,1,1,1,0.004126135,0,0.004126135,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,422,PACIFIC VIKING,127,1,1,1,0.009942362,0,0.009942362,100,509
