SPECIES_CODE,YEAR,SUBAREA,SEX,AGE,AGEPOP,MEANLEN,SDEV
10210,1987,1,1,-9,3329450,308.23,141.21
10210,1987,1,1,3,1866370,110,0
10210,1987,1,1,4,14346129,126.37,17.91
10210,1987,1,1,5,48213270,142.78,21.56
10210,1987,1,1,6,463221009,172.34,28.85
10210,1987,1,1,7,257792716,205.95,30.9
10210,1987,1,1,8,393308984,243.12,40.63
10210,1987,1,1,9,255900393,269.45,21.97
10210,1987,1,1,10,198045259,274.55,19.45
10210,1987,1,1,11,171806105,287.09,20.19
10210,1987,1,1,12,132729620,289.3,19.48
10210,1987,1,1,13,96270204,302.36,15.88
10210,1987,1,1,14,70159720,301.2,17.14
10210,1987,1,1,15,89095514,291.18,21.01
10210,1987,1,1,16,121713183,295.93,14.21
10210,1987,1,1,17,144760620,300.71,13.94
10210,1987,1,1,18,113386430,297.74,14.9
10210,1987,1,1,19,83381434,307.32,12.49
10210,1987,1,1,20,22709247,300.03,27.77
10210,1987,1,1,22,11693703,320,0
10210,1987,1,1,23,842327,350,0
10210,1987,1,1,24,2294173,340,0
10210,1987,1,1,25,2294173,340,0
10210,1987,1,1,26,10072757,310,0
10210,1987,1,2,-9,564708,80,0
10210,1987,1,2,4,23019515,137.59,19.25
10210,1987,1,2,5,58282440,169.06,24.68
10210,1987,1,2,6,383798429,176.35,30.59
10210,1987,1,2,7,189919010,220.37,35.7
10210,1987,1,2,8,325086080,247.69,38.76
10210,1987,1,2,9,89480139,283.96,25.15
10210,1987,1,2,10,149531748,301.48,32.78
10210,1987,1,2,11,238856593,304.18,17.79
10210,1987,1,2,12,147234576,315.94,19.56
10210,1987,1,2,13,177721284,317.55,23.19
10210,1987,1,2,14,102335437,318.65,20.81
10210,1987,1,2,15,109378651,320.1,22.22
10210,1987,1,2,16,103601754,327.5,21.42
10210,1987,1,2,17,73650882,326.68,21.14
10210,1987,1,2,18,69461525,335.7,15.87
10210,1987,1,2,19,80243272,330.69,19.26
10210,1987,1,2,20,15895404,355.55,8.25
10210,1987,1,2,21,11517953,356.21,11.42
10210,1987,1,2,22,3722052,363.65,4.81
10210,1987,1,2,23,7951023,356.39,7.56
10210,1987,1,2,24,4228971,350,0
10210,1987,1,2,25,11812040,320,0
10210,1987,1,3,-9,0,,
10210,1987,1,3,3,0,,
10210,1987,1,3,4,0,,
10210,1987,1,3,5,0,,
10210,1987,1,3,6,0,,
10210,1987,1,3,7,0,,
10210,1987,1,3,8,0,,
10210,1987,1,3,9,0,,
10210,1987,1,3,10,0,,
10210,1987,1,3,11,0,,
10210,1987,1,3,12,0,,
10210,1987,1,3,13,0,,
10210,1987,1,3,14,0,,
10210,1987,1,3,15,0,,
10210,1987,1,3,16,0,,
10210,1987,1,3,17,0,,
10210,1987,1,3,18,0,,
10210,1987,1,3,19,0,,
10210,1987,1,3,20,0,,
10210,1987,1,3,21,0,,
10210,1987,1,3,22,0,,
10210,1987,1,3,23,0,,
10210,1987,1,3,24,0,,
10210,1987,1,3,25,0,,
10210,1987,1,3,26,0,,
10210,1987,1,9,-9,3894158,275.13,153.32
10210,1987,1,9,3,1866370,110,0
10210,1987,1,9,4,37365644,133.28,19.53
10210,1987,1,9,5,106495711,157.16,26.74
10210,1987,1,9,6,847019437,174.16,29.72
10210,1987,1,9,7,447711726,212.07,33.78
10210,1987,1,9,8,718395065,245.19,39.86
10210,1987,1,9,9,345380532,273.21,23.71
10210,1987,1,9,10,347577007,286.14,29.25
10210,1987,1,9,11,410662698,297.03,20.64
10210,1987,1,9,12,279964196,303.31,23.62
10210,1987,1,9,13,273991488,312.21,22.13
10210,1987,1,9,14,172495157,311.56,21.21
10210,1987,1,9,15,198474165,307.12,26.02
10210,1987,1,9,16,225314938,310.45,23.83
10210,1987,1,9,17,218411502,309.46,20.74
10210,1987,1,9,18,182847954,312.16,23.93
10210,1987,1,9,19,163624707,318.78,19.95
10210,1987,1,9,20,38604651,322.89,35.04
10210,1987,1,9,21,11517953,356.21,11.42
10210,1987,1,9,22,15415754,330.54,18.83
10210,1987,1,9,23,8793350,355.78,7.43
10210,1987,1,9,24,6523145,346.48,4.78
10210,1987,1,9,25,14106213,323.25,7.38
10210,1987,1,9,26,10072757,310,0
10210,1987,2,1,-9,261399,209.24,144.14
10210,1987,2,1,3,2679388,110,0
10210,1987,2,1,4,25147953,113.91,20.65
10210,1987,2,1,5,53242955,130.38,20.16
10210,1987,2,1,6,279526015,157.38,25.86
10210,1987,2,1,7,87700186,185.05,35.19
10210,1987,2,1,8,75796881,216.68,40.54
10210,1987,2,1,9,25655991,263.36,26.76
10210,1987,2,1,10,18095896,271.15,25.33
10210,1987,2,1,11,16786074,290.43,23.22
10210,1987,2,1,12,12771075,292.87,20.79
10210,1987,2,1,13,11390735,308.13,15.6
10210,1987,2,1,14,8136420,313.12,21.53
10210,1987,2,1,15,10054806,303.26,26.64
10210,1987,2,1,16,12398929,303.4,19.82
10210,1987,2,1,17,15807384,306.69,16.02
10210,1987,2,1,18,11753410,303.47,15.8
10210,1987,2,1,19,10271281,313.61,16.62
10210,1987,2,1,20,3448351,313.43,23.79
10210,1987,2,1,22,2120785,320,0
10210,1987,2,1,23,946761,350,0
10210,1987,2,1,24,717560,340,0
10210,1987,2,1,25,717560,340,0
10210,1987,2,1,26,1298588,310,0
10210,1987,2,2,-9,922214,213.32,173.5
10210,1987,2,2,4,45071349,121.75,21.95
10210,1987,2,2,5,49036836,156.73,28.1
10210,1987,2,2,6,307198308,159.55,29.47
10210,1987,2,2,7,78768459,196.72,39.68
10210,1987,2,2,8,89541003,227,38.73
10210,1987,2,2,9,14167157,284.45,29.72
10210,1987,2,2,10,28917669,299.59,47.42
10210,1987,2,2,11,36631963,306.48,19.73
10210,1987,2,2,12,29893381,328.44,25.7
10210,1987,2,2,13,38959175,328.33,23.94
10210,1987,2,2,14,22383426,332.36,25.27
10210,1987,2,2,15,24756420,330.46,20.13
10210,1987,2,2,16,28298843,341.18,25.69
10210,1987,2,2,17,19857053,336.26,20.32
10210,1987,2,2,18,22328287,344.89,19.49
10210,1987,2,2,19,22968498,343.87,26.4
10210,1987,2,2,20,9522852,365.45,21.12
10210,1987,2,2,21,6299851,360.73,13.67
10210,1987,2,2,22,2646001,364.65,4.99
10210,1987,2,2,23,4381677,358.85,8.15
10210,1987,2,2,24,1735676,350,0
10210,1987,2,2,25,2129850,320,0
10210,1987,2,3,-9,0,,
10210,1987,2,3,3,0,,
10210,1987,2,3,4,0,,
10210,1987,2,3,5,0,,
10210,1987,2,3,6,0,,
10210,1987,2,3,7,0,,
10210,1987,2,3,8,0,,
10210,1987,2,3,9,0,,
10210,1987,2,3,10,0,,
10210,1987,2,3,11,0,,
10210,1987,2,3,12,0,,
10210,1987,2,3,13,0,,
10210,1987,2,3,14,0,,
10210,1987,2,3,15,0,,
10210,1987,2,3,16,0,,
10210,1987,2,3,17,0,,
10210,1987,2,3,18,0,,
10210,1987,2,3,19,0,,
10210,1987,2,3,20,0,,
10210,1987,2,3,21,0,,
10210,1987,2,3,22,0,,
10210,1987,2,3,23,0,,
10210,1987,2,3,24,0,,
10210,1987,2,3,25,0,,
10210,1987,2,3,26,0,,
10210,1987,2,9,-9,1183613,212.42,167.47
10210,1987,2,9,3,2679388,110,0
10210,1987,2,9,4,70219302,118.94,21.82
10210,1987,2,9,5,102279791,143.02,27.63
10210,1987,2,9,6,586724323,158.52,27.83
10210,1987,2,9,7,166468645,190.58,37.83
10210,1987,2,9,8,165337884,222.27,39.91
10210,1987,2,9,9,39823148,270.86,29.63
10210,1987,2,9,10,47013566,288.64,42.68
10210,1987,2,9,11,53418037,301.44,22.18
10210,1987,2,9,12,42664456,317.79,29.28
10210,1987,2,9,13,50349910,323.76,23.87
10210,1987,2,9,14,30519846,327.23,25.77
10210,1987,2,9,15,34811226,322.6,25.4
10210,1987,2,9,16,40697772,329.67,29.68
10210,1987,2,9,17,35664437,323.15,23.65
10210,1987,2,9,18,34081697,330.61,26.88
10210,1987,2,9,19,33239779,334.52,27.61
10210,1987,2,9,20,12971203,351.62,31.72
10210,1987,2,9,21,6299851,360.73,13.67
10210,1987,2,9,22,4766786,344.79,22.5
10210,1987,2,9,23,5328438,357.28,8.12
10210,1987,2,9,24,2453236,347.08,4.55
10210,1987,2,9,25,2847410,325.04,8.68
10210,1987,2,9,26,1298588,310,0
10210,1987,3,1,-9,0,,
10210,1987,3,1,4,156557,140,0
10210,1987,3,1,5,2017179,172.05,14.14
10210,1987,3,1,6,66927434,200.37,27
10210,1987,3,1,7,95391346,225.75,20.91
10210,1987,3,1,8,161210123,250.31,30.86
10210,1987,3,1,9,128565080,262.69,20.75
10210,1987,3,1,10,87236183,269.22,19.75
10210,1987,3,1,11,69703476,281.36,22.28
10210,1987,3,1,12,50793347,283.52,21.2
10210,1987,3,1,13,31618573,300.08,16.63
10210,1987,3,1,14,22064049,299.49,16.39
10210,1987,3,1,15,33510733,287.2,21.87
10210,1987,3,1,16,39852458,294.57,15.67
10210,1987,3,1,17,47225005,300.2,14.23
10210,1987,3,1,18,39408163,296.14,15.06
10210,1987,3,1,19,24064433,307.1,11.31
10210,1987,3,1,20,8124282,291.86,26.65
10210,1987,3,1,22,4012188,320,0
10210,1987,3,1,23,664726,350,0
10210,1987,3,1,24,711951,340,0
10210,1987,3,1,25,711951,340,0
10210,1987,3,1,26,3205356,310,0
10210,1987,3,2,4,238600,158.83,5.8
10210,1987,3,2,5,8948506,194.97,17.7
10210,1987,3,2,6,78316945,211.6,25.15
10210,1987,3,2,7,145207256,244.71,26.44
10210,1987,3,2,8,331046626,260.03,29.74
10210,1987,3,2,9,121246046,280.03,21.86
10210,1987,3,2,10,154128044,299.91,27.69
10210,1987,3,2,11,256279023,300.72,19.1
10210,1987,3,2,12,140342383,313,19.27
10210,1987,3,2,13,181218924,311.81,24.12
10210,1987,3,2,14,91629951,316.24,20.23
10210,1987,3,2,15,105506164,314.45,23.73
10210,1987,3,2,16,88359702,324.74,19.9
10210,1987,3,2,17,66608168,321.52,23.45
10210,1987,3,2,18,58503342,334.3,15.52
10210,1987,3,2,19,67584985,328.54,16.71
10210,1987,3,2,20,12934121,354.78,5.79
10210,1987,3,2,21,9262844,355.13,9.23
10210,1987,3,2,22,3087519,363.62,4.81
10210,1987,3,2,23,6572989,356.4,7.55
10210,1987,3,2,24,3485469,350,0
10210,1987,3,2,25,11509675,320,0
10210,1987,3,3,4,0,,
10210,1987,3,3,5,0,,
10210,1987,3,3,6,0,,
10210,1987,3,3,7,0,,
10210,1987,3,3,8,0,,
10210,1987,3,3,9,0,,
10210,1987,3,3,10,0,,
10210,1987,3,3,11,0,,
10210,1987,3,3,12,0,,
10210,1987,3,3,13,0,,
10210,1987,3,3,14,0,,
