"","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Alaska Plaice",0,0,0,0,0,0,0,0,0,0,10395.77,118.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arrowtooth Flounder",366.28,1017.29,1595.47,345.77,819.92,386.3,2382.46,1631.83,1998.08,1845.51,997.86,1132.866,263.868,645.545,350.536,213.903,1969.999,1851.876,1619.67887,2331.95478,987.41238,2042.22175,2214.43286,1685.70808,3249.83279,1262.6516,3075.7083810187,1634.14358
"Atka Mackerel",1.18,0.1,0,0,0.16,0.34,0.83,32.61,0.04,0.38,0.45,16.935,0.301,110.421,17.339,0.345,0.63,0.328,0.11554,0.1271,0,0.21842,0.09394,0.32816,0.08122,0.17519,0.25125,0.27689
"BSAI Alaska Plaice",0,0,0,0,0,0,0,0,0,0,0,8395.016,5835.596,8711.836,13972.327,16357.002,13511.934,10631.843,11996.42739,18305.54558,13576.71751,15978.86981,14363.94027,11681.47324,8163.56,12782.47689,15341.996285083,11438.92895
"BSAI Kamchatka Flounder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.4984,122.27765,148.95288,497.92112,427.21841,284.43803,164.62108,218.18121,122.93971
"BSAI Other Flatfish",0,0,0,0,0,0,0,0,0,0,0,213.31,433.731,653.942,877.134,2850.958,1235.766,241.975,977.69153,1585.93257,1206.82578,388.34396,2886.9841,1041.10503,1135.9818,1734.23499,3287.3646491653,1459.42235
"BSAI Rougheye Rockfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19703,0,0,0,0,0
"BSAI Skate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2107.46052,2231.88834,2683.41801,1970.26155,1072.93947,1294.78836,1931.56305,2561.921520313,2212.60367
"BSAI Squid",0,0,0,0,0,0,0,0,0,0,0,1.396,0,0.007,0,0.008,0.275,0.006,0.06403,0,0,0,0,0,0,0,0,0
"Flathead Sole",0,0,0,3929.53,3165.82,3896.86,5323.42,2309.12,2644.21,3231.26,2190.53,2856.45,1076.288,1247.998,2025.218,1735.624,5579.366,3497.466,2690.42964,3229.58987,2095.3958,4179.98848,3994.48201,3337.35254,4103.9958,3106.23322,3966.990604016,2912.66444
"Flounder",16826.34,9620.28,12422.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greenland Turbot",0.7,4.94,4.6,67.17,8.24,4.35,103.25,69.98,23.68,32.11,2.12,3.866,0.256,6.562,8.403,0.825,0.631,3.957,1.41298,5.07487,5.64646,35.13933,56.61993,42.54752,7.89223,8.49867,26.41294,5.76502
"Non TAC Species",0,0,0,0,0,0,0,21.33,188.3,173.38,165.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Northern Rockfish",0,0,0,0,0,0,0,0,0,0,0.6,0,0.015,3.096,0.179,0,0.114,0,0,0,0.10888,0,0,0.43805,0,0.08893,0,0.05274
"Octopus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70397,1.3332,0.5605,0.28842,0.12082,0.65121,0.04581,0.4705,0.02025
"Other",7990.06,3847.09,3983,2904.34,2565.36,4754.94,3570.39,2765.95,3641.1,3969.66,4946.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
