"","Year","Peel","SSB","SSB_sd","Totbio","Totbio_sd","Rec","Rec_sd","run"
"1",1954,1,964.966,125.194,2484.16,150.418,1.95075,0.301654,"yfs_retro"
"2",1955,1,974.264,118.591,2451.04,135.266,1.39039,0.357783,"yfs_retro"
"3",1956,1,965.558,110.243,2408.3,118.619,0.952051,0.214994,"yfs_retro"
"4",1957,1,941.733,101.056,2355.92,101.114,3.22599,0.361318,"yfs_retro"
"5",1958,1,905.972,91.609,2314.91,83.4721,2.3508,0.189808,"yfs_retro"
"6",1959,1,831.865,80.3262,2268.69,66.9084,1.81101,0.132583,"yfs_retro"
"7",1960,1,652.531,63.4522,2090.47,52.5488,1.71353,0.122198,"yfs_retro"
"8",1961,1,361.747,44.459,1649.15,38.359,0.99183,0.0923126,"yfs_retro"
"9",1962,1,45.6543,21.9616,1140.45,24.7465,1.88685,0.125488,"yfs_retro"
"10",1963,1,11.831,6.28344,801.549,16.2289,0.994045,0.0948166,"yfs_retro"
"11",1964,1,24.5774,8.87394,843.485,16.4884,0.92058,0.0889775,"yfs_retro"
"12",1965,1,48.3374,11.3883,838.664,16.4309,1.19152,0.104165,"yfs_retro"
"13",1966,1,85.9614,13.4497,887.311,17.3251,1.21498,0.111747,"yfs_retro"
"14",1967,1,118.525,13.0201,876.624,17.921,2.54932,0.175951,"yfs_retro"
"15",1968,1,139.129,12.5779,803.85,17.9165,3.89562,0.22841,"yfs_retro"
"16",1969,1,143.958,14.1482,838.765,19.7247,3.98824,0.236227,"yfs_retro"
"17",1970,1,113.138,9.29609,812.194,21.3703,5.25897,0.27493,"yfs_retro"
"18",1971,1,97.7133,7.0557,877.096,24.6817,5.84619,0.2884,"yfs_retro"
"19",1972,1,80.1262,6.67019,949.056,28.8619,4.59715,0.248121,"yfs_retro"
"20",1973,1,81.6629,7.22485,1204.67,34.8406,3.18483,0.197688,"yfs_retro"
"21",1974,1,90.7539,7.7992,1456.38,41.3552,4.28401,0.225309,"yfs_retro"
"22",1975,1,143.174,10.396,1818.46,49.6463,5.03289,0.240635,"yfs_retro"
"23",1976,1,204.059,12.5745,2131.17,57.049,3.31077,0.188685,"yfs_retro"
"24",1977,1,296.897,15.6199,2447.74,64.1496,4.16888,0.214169,"yfs_retro"
"25",1978,1,413.783,18.8306,2749.12,70.8098,2.73095,0.167912,"yfs_retro"
"26",1979,1,532.398,22.1604,2915.01,76.3521,1.7451,0.131334,"yfs_retro"
"27",1980,1,664.512,25.6475,3102.85,81.3583,3.37671,0.185677,"yfs_retro"
"28",1981,1,786.505,28.9639,3274.2,85.6176,2.51899,0.157914,"yfs_retro"
"29",1982,1,854.971,30.4351,3391.85,87.7175,7.29964,0.295409,"yfs_retro"
"30",1983,1,957.779,32.8219,3370.64,88.4292,1.35142,0.11309,"yfs_retro"
"31",1984,1,1038.69,34.5861,3602.6,94.2066,6.04505,0.26086,"yfs_retro"
"32",1985,1,1086.96,36.4678,3615.62,97.2453,2.09112,0.140024,"yfs_retro"
"33",1986,1,1074.1,37.2326,3328.08,94.324,1.60643,0.119895,"yfs_retro"
"34",1987,1,1067.96,38.4748,3291.86,96.7621,2.19506,0.139966,"yfs_retro"
"35",1988,1,1010.18,38.0257,3196.88,96.7787,3.00984,0.166968,"yfs_retro"
"36",1989,1,983.134,38.6627,3259.61,101.616,3.01185,0.166507,"yfs_retro"
"37",1990,1,994.388,39.207,3124.74,99.9801,1.50594,0.112518,"yfs_retro"
"38",1991,1,1076.2,41.0518,3247.31,103.232,1.69384,0.120925,"yfs_retro"
"39",1992,1,1159.68,43.1154,3461.2,108.84,3.76284,0.194952,"yfs_retro"
"40",1993,1,1195.57,44.6724,3499.35,111.744,2.24688,0.144309,"yfs_retro"
"41",1994,1,1198.93,44.8803,3545.36,113.341,1.89682,0.131605,"yfs_retro"
"42",1995,1,1198.37,45.4317,3315.2,109.471,1.90958,0.132415,"yfs_retro"
"43",1996,1,1131.53,43.8173,3232.39,107.925,4.71111,0.227702,"yfs_retro"
"44",1997,1,1095.24,43.3254,3251.6,109.483,2.03618,0.137116,"yfs_retro"
"45",1998,1,1030.8,41.9975,2973.15,104.11,1.69021,0.1224,"yfs_retro"
"46",1999,1,1022.9,41.8814,2784.75,99.7333,2.07146,0.13554,"yfs_retro"
"47",2000,1,1009.86,41.5643,2835.23,100.012,2.90284,0.165053,"yfs_retro"
"48",2001,1,1006.09,41.2738,2758.92,98.0889,1.87989,0.129717,"yfs_retro"
"49",2002,1,1004.73,41.0678,2801.13,98.3838,2.54882,0.157957,"yfs_retro"
"50",2003,1,1014.31,40.9765,3019.08,104.056,2.4587,0.157838,"yfs_retro"
"51",2004,1,1046.17,41.6184,3232.15,109.997,3.83476,0.21399,"yfs_retro"
"52",2005,1,1063.09,41.9445,3337.84,113.101,1.69917,0.133761,"yfs_retro"
"53",2006,1,1084.74,42.8048,3311.72,113.419,1.94375,0.153283,"yfs_retro"
"54",2007,1,1090.78,43.4297,3307.95,115.056,2.42003,0.186992,"yfs_retro"
"55",2008,1,1066.67,43.4488,3157.99,112.999,2.24755,0.189604,"yfs_retro"
"56",2009,1,1031.1,43.0291,2975.3,110.131,2.63016,0.226307,"yfs_retro"
"57",2010,1,1006.49,42.7339,3006.55,112.709,3.76337,0.324841,"yfs_retro"
"58",2011,1,983.388,42.4274,3014.47,115.278,1.2833,0.178629,"yfs_retro"
"59",2012,1,964.818,42.6713,2965.41,117.33,0.684766,0.140358,"yfs_retro"
"60",2013,1,952.538,43.4145,2882.1,118.432,1.7622,0.310295,"yfs_retro"
"61",2014,1,906.984,43.4995,2658.27,115.038,2.72758,0.539601,"yfs_retro"
"62",2015,1,894.667,44.8323,2654.52,120.784,4.11344,1.09613,"yfs_retro"
"63",2016,1,890.997,46.3431,2783.59,133.052,3.1226,1.55802,"yfs_retro"
"64",2017,1,867.318,47.1339,2705.69,138.076,2.15747,1.43767,"yfs_retro"
"65",2018,1,864.792,49.0038,2789.47,156.414,2.34761,1.66118,"yfs_retro"
"66",1954,2,964.864,125.022,2483.54,149.518,1.96172,0.300039,"yfs_retro"
"67",1955,2,974.137,118.402,2450.32,134.402,1.40468,0.351517,"yfs_retro"
"68",1956,2,965.397,110.039,2407.62,117.86,0.958641,0.215741,"yfs_retro"
"69",1957,2,941.525,100.84,2355.43,100.517,3.22669,0.364641,"yfs_retro"
"70",1958,2,905.697,91.3846,2314.73,83.0586,2.3516,0.18728,"yfs_retro"
"71",1959,2,831.442,80.0967,2268.88,66.6661,1.81421,0.132286,"yfs_retro"
"72",1960,2,651.824,63.2315,2091.03,52.444,1.71958,0.122481,"yfs_retro"
"73",1961,2,361.045,44.1573,1649.94,38.3356,0.998285,0.0928014,"yfs_retro"
"74",1962,2,45.3568,21.8884,1141.26,24.7698,1.8987,0.125576,"yfs_retro"
"75",1963,2,11.6317,6.11277,802.49,16.2072,0.958469,0.0899919,"yfs_retro"
"76",1964,2,24.1876,8.63337,844.477,16.4604,0.893973,0.087045,"yfs_retro"
"77",1965,2,47.7791,11.1742,839.613,16.3981,1.20509,0.103226,"yfs_retro"
"78",1966,2,85.2055,13.3434,887.921,17.2813,1.1927,0.108562,"yfs_retro"
"79",1967,2,117.855,13.0674,876.6,17.8748,2.50073,0.173503,"yfs_retro"
"80",1968,2,138.763,12.6935,802.851,17.8775,3.86777,0.227027,"yfs_retro"
"81",1969,2,143.963,14.242,836.334,19.6988,3.98049,0.235328,"yfs_retro"
"82",1970,2,113.756,9.35124,808.214,21.3403,5.24725,0.27401,"yfs_retro"
"83",1971,2,98.2844,7.08232,871.931,24.6312,5.83048,0.28755,"yfs_retro"
"84",1972,2,80.0023,6.61763,943.579,28.7894,4.58344,0.247466,"yfs_retro"
"85",1973,2,77.6294,7.15615,1193.28,34.7456,3.17368,0.197052,"yfs_retro"
